OID_,X,Y,Name,Address,Postal_Code,City,Province,Category,Activity,Outdoor
76,-79.25341949,43.1516566,H.C. Griffith Sports Complex,2 Ridley Rd,L2S 3Y8,St. Catharines,ON,Sports stadiums and other presenters with facilities,Ice Hockey,
77,-79.2953721,43.0229977,Harold Black Park,983 Haist St,L0S 1E4,Fonthill,ON,Sports stadiums and other presenters with facilities,Baseball,Yes
78,-79.36663439,43.15225052,Heritage Christian School,2850 Fourth Ave,L0R 1S0,Jordan Station,ON,Sports stadiums and other presenters with facilities,Soccer,Yes
79,-79.21823955,43.02086249,Hunters Pointe Golf Course,289 Daimler Pky,L3B 6H2,Welland,ON,Golf courses and country clubs,Golf,Yes
80,-79.16901766,43.17932832,Heritage Woods Golf Course,1140 Airport Rd,L0S 1J0,Niagara-on-the-lake,ON,Golf courses and country clubs,Golf,Yes
81,-79.25918993,43.16593005,Haig Bowl Arena,17 Beech St (pleasant Ave & Thomas St),L2R 2B6,St. Catharines,ON,Sports stadiums and other presenters with facilities,"Athletics,Lacrosse,Ice Hockey",
82,-79.54559,43.09774,Hylands Golf Club,Gd,L0R 2A0,Smithville,ON,Golf courses and country clubs,Golf,Yes
83,-79.47731093,43.15574252,Jcs Golf,5032 Douglas St,L0R 1B7,Beamsville,ON,Golf courses and country clubs,Golf,Yes
84,-79.24969248,43.02346867,Jeff's Bowl-o-rama,968 Niagara St,L3C 1M6,Welland,ON,Bowling centres,Bowling,
85,-79.24529902,43.00622743,Jennifer Park,50 Ann St,L3C 3S4,Welland,ON,Nature parks and other similar institutions,Soccer,Yes
86,-79.23865301,43.16020584,Rex Stimers Arena,8 Gale Cres,L2R 7M8,St. Catharines,ON,Fitness and recreational sports centres,"Lacrosse,Athletics",
87,-79.36583062,43.1436836,Jordan Public School,2831 Rr#81,L0R 1S0,Jordan,ON,Sports stadiums and other presenters with facilities,Soccer,Yes
88,-79.36352032,43.15245038,Jordan Lions Park,2789 Fourth Ave,L0R 1S0,Jordan Station,ON,Sports stadiums and other presenters with facilities,Soccer,Yes
89,-79.13564755,43.07629859,Kalar Sports Park,6775 Kalar Rd,L2H 2T3,Niagara Falls,ON,Sports stadiums and other presenters with facilities,Soccer,Yes
90,-79.09500343,43.12406083,Ker Park,3420 Sinnicks Ave,L2J 1N5,Niagara Falls,ON,Sports stadiums and other presenters with facilities,"Baseball,Soccer",Yes
91,-79.07907003,43.09413,John N. Allan Park Rink,Kalar Rd,L2G 3P3,Niagara Falls,ON,Sports stadiums and other presenters with facilities,Ice Hockey,
92,-79.08339299,43.24223948,Kaneff Properties Limited,1 Niagara St,L0S 1J0,Niagara-on-the-lake,ON,Golf courses and country clubs,Golf,Yes
93,-79.24962961,43.0178875,Lancaster Park,190 Lancaster Drive,L3C 6M1,Welland,ON,Nature parks and other similar institutions,Field,Yes
94,-79.21055209,43.15874743,Kernahan Park,381 Queenston St,,St. Catharines,ON,Sports stadiums and other presenters with facilities,Baseball,Yes
95,-79.46450087,43.18831254,Lincoln Town Hall,4800 South Service Rd,L0R 1B1,Beamsville,ON,Sports stadiums and other presenters with facilities,Soccer,Yes
96,-79.30103281,43.05268694,Lookout Point Golf And Country Club,209 Tice Road,L0S 1E0,Pelham,ON,Golf courses and country clubs,Golf,Yes
97,-79.43183173,42.87496687,Long Beach Country Club,13054 Lakeshore Rd,L0S 1V0,Wainfleet,ON,Golf courses and country clubs,Golf,Yes
98,-79.07907003,43.09413,Larry Delazzer Nature Park Rink,Orchard Grove Pkwy,L2G 3P3,Niagara Falls,ON,Sports stadiums and other presenters with facilities,Ice Hockey,
99,-79.16058773,43.08630746,Lundy's Lane Driving Range/Lundys Lane Golf Driving Range,,,,,,,
,ON,Golf courses and country clubs,Golf,Yes,,,,,,
100,-79.12541718,43.07298648,Macbain Community Centre Rink,7150 Montrose Rd,L2H 3N3,Niagara Falls,ON,Sports stadiums and other presenters with facilities,Ice Hockey,
101,-79.23119948,42.98998251,Manchester Park,835 Welland St,L3B 4E5,Welland,ON,Nature parks and other similar institutions,Soccer,Yes
102,-79.28529243,42.99949002,Maple Park,512 South Pelham Rd,L3C 3C7,Welland,ON,Nature parks and other similar institutions,Baseball,Yes
103,-79.19791251,43.12943315,Mcmillan Park,72 Carleton Street North,,Thorold,ON,Sports stadiums and other presenters with facilities,Baseball,Yes
104,-79.04152212,42.87186311,Marlene Whiller,3444 North Shore Dr,L0S 1N0,Ridgeway,ON,Golf courses and country clubs,Golf,Yes
105,-79.07931973,43.10700247,Maple Street Park Rink,5100 Maple St,L2G 3P3,Niagara Falls,ON,Sports stadiums and other presenters with facilities,Ice Hockey,
106,-79.22577384,42.98144437,Memorial Park,68 Memorial Park Dr,L3B 1A6,Welland,ON,Sports stadiums and other presenters with facilities,Baseball,Yes
